S.No.,Location,Cr (PPM),Mn (PPM),Fe (PPM),Ni (PPM),Cu (PPM),Zn (PPM),As (PPM),Se (PPB),Ag (PPB),Cd (PPB),Pb (PPB),U (PPB),Year
210,Haiderpur Pz,0.005,0.3,0.1,0.002,0.15,0.081,1,1,1,1,1,24.467,2020
211,Hareoli Pz,0.005,0.3,0.241,0.002,0.15,0.571,1,1,1,1,1,26.367,2020
212,Hiran Kudna DW,0.005,0.289,0.671,0.002,0.15,0.25,4.158,1,1,1,1,24.485,2020
213,Palla Road RD,0.005,0.124,0.1,0.002,0.15,1.092,1,1,1,1,2.829,3.808,2020
214,Peeragarhi DW,0.005,0.174,0.1,0.002,0.15,0.053,1,1,1,1,1,40.39,2020
215,PUSA (NRL) Pz,0.005,0.03,0.1,0.002,0.15,0.518,1,1,1,1,1.438,6.435,2020
216,Rai Khera DW,0.005,0.206,1.118,0.002,0.15,0.082,1,1,1,1,1,60.415,2020
217,Rohini Sector 28,0.005,0.071,0.1,0.002,0.15,0.063,1,1,1,1,1,21.116,2020
218,Safdarjung Tomb,0.005,0.3,0.1,0.002,0.15,0.064,1,1,1,1,1,10.294,2020
219,Sainik Vihar (Pz),0.005,0.068,0.28,0.002,0.15,0.05,1,1,1,1,1,12.688,2020
220,Sandesh Vihar Pz,0.005,0.096,0.1,0.002,0.15,0.05,1.044,1,1,1,1,16.177,2020
221,Sanjay Van Pz,0.005,0.176,0.206,0.002,0.15,0.414,1,1,1,1,1,21.125,2020
222,Sectpr - 5 Rohini (Pz) Rithala,0.005,0.3,0.1,0.002,0.15,0.05,1,1,1,1,1,10.598,2020
223,Sector -1 Rohini (Pz),0.005,0.3,0.1,0.002,0.15,0.396,1,1,1,1,1,12.5,2020
224,Shekhawati Line Pz,0.005,0.3,0.1,0.002,0.15,0.257,1,1,1,1,1,6.048,2020
225,Shram Shakti Bhawan,0.005,0.3,0.1,0.002,0.15,0.078,1,1,1,1,1,10.071,2020
226,Singhola Pz,0.005,0.103,0.1,0.002,0.15,1.978,1,1,1,1,1,9.227,2020
227,Sultanpur IMS Pz,0.0167,0.3,0.1,0.002,0.15,0.131,1,1,1,1,1.845,5.742,2020
228,Tagore Garden Pz,0.005,0.3,0.182,0.002,0.15,0.214,1,1,1,1,1,14.287,2020
229,Tiggipur Deep Pz,0.005,0.3,0.1,0.004,0.15,0.257,1.139,1,1,1,1.796,3.264,2020
230,Tikri Kalan,0.005,0.033,0.184,0.002,0.15,0.05,1,1,1,1,1,64.105,2020
231,Vikaspuri Pz,0.005,0.3,0.1,0.002,0.15,0.528,1,1,1,1.19,1.975,24.485,2020
232,Baloki,0.005,0.099,0.16,0.002,0.15,0.076,1,1,1,1,1,6.45,2020
